,pca__n_components,dec_tree__criterion,dec_tree__max_depth,dec_tree__min_samples_split,kappa,bal_accuracy,feature
0,8,gini,6,2,0.7399550561797753,0.8659317211948792,vocal_channel
1,14,entropy,8,2,0.17127868193017448,0.27991033236368257,emotion
2,17,entropy,4,6,0.4095401930197976,0.7046328671328672,emotional_intensity
3,17,entropy,10,10,0.19437059299502946,0.5974782608695652,statement
4,14,entropy,10,10,-0.10996303518933548,0.4453604072659956,repetition
5,13,gini,12,2,0.2933415852793334,0.32111541100511687,actor
6,13,entropy,12,2,0.726057519819455,0.8629237533263913,sex
