max_eps,xi,silhouette,n_clusters,maxAMI,meanAMI,noise_population
0.1,0.05,0,0,0.0,0.0,1.0
0.11315789473684211,0.05,0,0,0.0,0.0,1.0
0.12631578947368421,0.05,0,0,0.0,0.0,1.0
0.1394736842105263,0.05,0,0,0.0,0.0,1.0
0.15263157894736842,0.05,0,0,0.0,0.0,1.0
0.16578947368421054,0.05,0.7185442066998555,2,0.009487490521509389,0.003959681614503214,0.9946982055464927
0.17894736842105263,0.05,0.555884527064922,9,0.03590058348793282,0.012983616400822663,0.9767536704730831
0.19210526315789472,0.05,0.358891400545638,12,0.07697344038616866,0.028715317192776736,0.947389885807504
0.20526315789473684,0.05,0.4026767053467058,17,0.0679349307354244,0.02803997887610806,0.9433115823817292
0.21842105263157896,0.05,0.42298935550203615,26,0.08707707636162192,0.034789025561015686,0.9204730831973899
0.23157894736842105,0.05,0.4195860448469722,26,0.08496668599219308,0.03548786740509628,0.9155791190864601
0.24473684210526317,0.05,0.44408985515524657,30,0.08904604433620632,0.03763758608310284,0.9066068515497553
0.2578947368421053,0.05,0.4248156990489503,33,0.08948310437036931,0.03790129114294027,0.9037520391517129
0.2710526315789473,0.05,0.43056019411792085,31,0.08907936018294937,0.03740980780289056,0.9066068515497553
0.28421052631578947,0.05,0.4455328102335331,29,0.08686969373188141,0.03656788935608759,0.9110929853181077
0.2973684210526316,0.05,0.4490585031113259,30,0.08719802915224065,0.03694212844487464,0.9094616639477977
0.31052631578947365,0.05,0.452543540007755,30,0.08541545642829311,0.036299239874167256,0.9094616639477977
0.3236842105263158,0.05,0.4508709135267823,31,0.08810813795794645,0.037297944311168514,0.9074225122349103
0.3368421052631579,0.05,0.4543902804301378,30,0.08655497244451442,0.03663163952035729,0.9102773246329527
0.35,0.05,0.4543902804301378,30,0.08655497244451442,0.03663163952035729,0.9102773246329527
0.1,0.08750000000000001,0,0,0.0,0.0,1.0
0.11315789473684211,0.08750000000000001,0,0,0.0,0.0,1.0
0.12631578947368421,0.08750000000000001,0,0,0.0,0.0,1.0
0.1394736842105263,0.08750000000000001,0,0,0.0,0.0,1.0
0.15263157894736842,0.08750000000000001,0,0,0.0,0.0,1.0
0.16578947368421054,0.08750000000000001,0.7185442066998555,2,0.009487490521509389,0.003959681614503214,0.9946982055464927
0.17894736842105263,0.08750000000000001,0.5342388817256832,9,0.041877592694876196,0.015190308954800707,0.9714518760195758
0.19210526315789472,0.08750000000000001,0.31598816008453445,12,0.09228520810852872,0.033520103458357334,0.933931484502447
0.20526315789473684,0.08750000000000001,0.25787201538868004,15,0.09270959727340632,0.03671317408152311,0.9168026101141925
0.21842105263157896,0.08750000000000001,0.275637973067855,20,0.11042572856020699,0.0413511626506866,0.901305057096248
0.23157894736842105,0.08750000000000001,0.3976678390635908,16,0.08373666923343161,0.03160335519569331,0.9261827079934747
0.24473684210526317,0.08750000000000001,0.48682035583725686,14,0.059254324772103635,0.02346325378657769,0.9530995106035889
0.2578947368421053,0.08750000000000001,0.41192216625421785,17,0.07099171153922094,0.028167999666254245,0.9392332789559543
0.2710526315789473,0.08750000000000001,0.4345821080834314,13,0.06877961710640297,0.02660667215742377,0.9457585644371941
0.28421052631578947,0.08750000000000001,0.38470171127905917,10,0.07045614870780993,0.026743611729877912,0.9465742251223491
0.2973684210526316,0.08750000000000001,0.3985669871754957,10,0.055568050551492824,0.02202491660749385,0.9600326264274062
0.31052631578947365,0.08750000000000001,0.6260761710325055,8,0.028902032840877008,0.012245026198224394,0.9808319738988581
0.3236842105263158,0.08750000000000001,0.5895673345160964,9,0.030849870704911343,0.013916158950295642,0.9783849918433931
0.3368421052631579,0.08750000000000001,0.6344587357516059,8,0.02844170105121173,0.012423872201463775,0.9812398042414355
0.35,0.08750000000000001,0.6344587357516059,8,0.02844170105121173,0.012423872201463775,0.9812398042414355
0.1,0.125,0,0,0.0,0.0,1.0
0.11315789473684211,0.125,0,0,0.0,0.0,1.0
0.12631578947368421,0.125,0,0,0.0,0.0,1.0
0.1394736842105263,0.125,0,0,0.0,0.0,1.0
0.15263157894736842,0.125,0,0,0.0,0.0,1.0
0.16578947368421054,0.125,0.7185442066998555,2,0.009487490521509389,0.003959681614503214,0.9946982055464927
0.17894736842105263,0.125,0.5342388817256832,9,0.041877592694876196,0.015190308954800707,0.9714518760195758
0.19210526315789472,0.125,0.31598816008453445,12,0.09228520810852872,0.033520103458357334,0.933931484502447
0.20526315789473684,0.125,0.2616652486198246,14,0.13748368821580623,0.052172763081325194,0.8715334420880914
0.21842105263157896,0.125,0.16105511886455176,20,0.17626671454822948,0.06632668685443499,0.7850734094616639
0.23157894736842105,0.125,0.006960341660275059,15,0.19839229079329443,0.04833810479638895,0.75
0.24473684210526317,0.125,-0.0452013868146701,12,0.14227603633152752,0.03629755450485908,0.6867862969004894
0.2578947368421053,0.125,0.38298010635119245,13,0.06321378037327709,0.02383971474633361,0.9498368678629691
0.2710526315789473,0.125,0.4129662636330014,9,0.060402623306993905,0.02199107346257146,0.9563621533442088
0.28421052631578947,0.125,0.404487316531113,6,0.0673420947108389,0.023578418503650132,0.9526916802610114
0.2973684210526316,0.125,0.47266320819001256,4,0.041045066902214294,0.014544496313338331,0.9747145187601958
0.31052631578947365,0.125,0.7793027197397838,2,0.007459512178401907,0.0025004538035809857,0.9955138662316476
0.3236842105263158,0.125,0.7312784740807341,3,0.011248478553004952,0.004574003644967037,0.9930668841761827
0.3368421052631579,0.125,0.8015861662655915,2,0.006855618212537428,0.0026649954369735514,0.9959216965742251
0.35,0.125,0.8015861662655915,2,0.006855618212537428,0.0026649954369735514,0.9959216965742251
0.1,0.16250000000000003,0,0,0.0,0.0,1.0
0.11315789473684211,0.16250000000000003,0,0,0.0,0.0,1.0
0.12631578947368421,0.16250000000000003,0,0,0.0,0.0,1.0
0.1394736842105263,0.16250000000000003,0,0,0.0,0.0,1.0
0.15263157894736842,0.16250000000000003,0,0,0.0,0.0,1.0
0.16578947368421054,0.16250000000000003,0.7185442066998555,2,0.009487490521509389,0.003959681614503214,0.9946982055464927
0.17894736842105263,0.16250000000000003,0.5342388817256832,9,0.041877592694876196,0.015190308954800707,0.9714518760195758
0.19210526315789472,0.16250000000000003,0.31598816008453445,12,0.09228520810852872,0.033520103458357334,0.933931484502447
0.20526315789473684,0.16250000000000003,0.26437785484288945,14,0.13827972884632114,0.05299025929990646,0.866231647634584
0.21842105263157896,0.16250000000000003,0.16105511886455176,20,0.17626671454822948,0.06632668685443499,0.7850734094616639
0.23157894736842105,0.16250000000000003,-0.005275964084754249,15,0.21627684571267994,0.06341946909191805,0.6818923327895595
0.24473684210526317,0.16250000000000003,-0.01610513824308969,12,0.18090456634111676,0.06107421978261547,0.5750407830342578
0.2578947368421053,0.16250000000000003,-0.1557037459629931,13,0.05129661480750576,0.028313977604319987,0.4857259380097879
