,pca__n_components,knnclf__weights,knnclf__p,kappa,bal_accuracy,feature
0,11,distance,2.0,0.9220602181128497,0.9610301090564248,vocal_channel
1,18,distance,2.0,0.31534418022528166,0.4041300825081204,emotion
2,11,distance,inf,0.4056497175141244,0.6987470862470863,emotional_intensity
3,18,distance,1.0,0.22477170269333024,0.6127246376811595,statement
4,13,distance,inf,-0.0569578165206579,0.47150873539280347,repetition
5,18,distance,1.0,0.5467025490611109,0.5594902578358462,actor
6,18,distance,2.0,0.870731777835603,0.9355547842184426,sex
